bps_kode_provinsi;bps_nama_provinsi;tahun;triwulan;kode_lapangan_usaha;lapangan_usaha;pdrb;satuan
11;Aceh;2013;;I;Penyediaan Akomodasi dan Makan Minum;1290.93;Miliar Rupiah
11;Aceh;2013;;J;Informasi dan Komunikasi;3921.16;Miliar Rupiah
11;Aceh;2013;;K;Jasa Keuangan dan Asuransi;2106.94;Miliar Rupiah
11;Aceh;2013;;L;Real Estat;3856.06;Miliar Rupiah
11;Aceh;2013;;M. N;Jasa Perusahaan;664.73;Miliar Rupiah
11;Aceh;2013;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;8844.48;Miliar Rupiah
11;Aceh;2013;;P;Jasa Pendidikan;2279.67;Miliar Rupiah
11;Aceh;2013;;Q;Jasa Kesehatan dan Kegiatan Sosial;2784.61;Miliar Rupiah
11;Aceh;2013;;R. S. T. U;Jasa Lainnya;1409.85;Miliar Rupiah
11;Aceh;2014;;A;Pertanian. Kehutanan. dan Perikanan;34376.59;Miliar Rupiah
11;Aceh;2014;;B;Pertambangan dan Penggalian;13578.03;Miliar Rupiah
11;Aceh;2014;;C;Industri Pengolahan;9481.10;Miliar Rupiah
11;Aceh;2014;;D;Pengadaan Listrik dan Gas;135.46;Miliar Rupiah
11;Aceh;2014;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";39.48;Miliar Rupiah
11;Aceh;2014;;F;Konstruksi;11482.86;Miliar Rupiah
11;Aceh;2014;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";18970.31;Miliar Rupiah
11;Aceh;2014;;H;Transportasi dan Pergudangan;9847.54;Miliar Rupiah
11;Aceh;2014;;I;Penyediaan Akomodasi dan Makan Minum;1456.28;Miliar Rupiah
11;Aceh;2014;;J;Informasi dan Komunikasi;3972.74;Miliar Rupiah
11;Aceh;2014;;K;Jasa Keuangan dan Asuransi;2238.87;Miliar Rupiah
11;Aceh;2014;;L;Real Estat;4392.55;Miliar Rupiah
11;Aceh;2014;;M. N;Jasa Perusahaan;728.98;Miliar Rupiah
11;Aceh;2014;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;10124.10;Miliar Rupiah
11;Aceh;2014;;P;Jasa Pendidikan;2549.62;Miliar Rupiah
11;Aceh;2014;;Q;Jasa Kesehatan dan Kegiatan Sosial;2984.99;Miliar Rupiah
11;Aceh;2014;;R. S. T. U;Jasa Lainnya;1537.56;Miliar Rupiah
11;Aceh;2015;;A;Pertanian. Kehutanan. dan Perikanan;37598.85;Miliar Rupiah
11;Aceh;2015;;B;Pertambangan dan Penggalian;7495.69;Miliar Rupiah
11;Aceh;2015;;C;Industri Pengolahan;7718.44;Miliar Rupiah
11;Aceh;2015;;D;Pengadaan Listrik dan Gas;147.97;Miliar Rupiah
11;Aceh;2015;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";45.40;Miliar Rupiah
11;Aceh;2015;;F;Konstruksi;12327.86;Miliar Rupiah
11;Aceh;2015;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";20335.09;Miliar Rupiah
11;Aceh;2015;;H;Transportasi dan Pergudangan;10179.76;Miliar Rupiah
11;Aceh;2015;;I;Penyediaan Akomodasi dan Makan Minum;1633.12;Miliar Rupiah
11;Aceh;2015;;J;Informasi dan Komunikasi;4102.33;Miliar Rupiah
11;Aceh;2015;;K;Jasa Keuangan dan Asuransi;2396.95;Miliar Rupiah
11;Aceh;2015;;L;Real Estat;4902.38;Miliar Rupiah
11;Aceh;2015;;M. N;Jasa Perusahaan;764.09;Miliar Rupiah
11;Aceh;2015;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;11632.62;Miliar Rupiah
11;Aceh;2015;;P;Jasa Pendidikan;2898.55;Miliar Rupiah
11;Aceh;2015;;Q;Jasa Kesehatan dan Kegiatan Sosial;3243.30;Miliar Rupiah
11;Aceh;2015;;R. S. T. U;Jasa Lainnya;1670.22;Miliar Rupiah
11;Aceh;2016;;A;Pertanian. Kehutanan. dan Perikanan;40218.31;Miliar Rupiah
11;Aceh;2016;;B;Pertambangan dan Penggalian;6391.34;Miliar Rupiah
11;Aceh;2016;;C;Industri Pengolahan;7357.38;Miliar Rupiah
11;Aceh;2016;;D;Pengadaan Listrik dan Gas;168.12;Miliar Rupiah
11;Aceh;2016;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";55.53;Miliar Rupiah
11;Aceh;2016;;F;Konstruksi;14069.89;Miliar Rupiah
11;Aceh;2016;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";22002.47;Miliar Rupiah
11;Aceh;2016;;H;Transportasi dan Pergudangan;9750.40;Miliar Rupiah
11;Aceh;2016;;I;Penyediaan Akomodasi dan Makan Minum;1874.48;Miliar Rupiah
11;Aceh;2016;;J;Informasi dan Komunikasi;4218.91;Miliar Rupiah
11;Aceh;2016;;K;Jasa Keuangan dan Asuransi;2700.89;Miliar Rupiah
11;Aceh;2016;;L;Real Estat;5341.32;Miliar Rupiah
11;Aceh;2016;;M. N;Jasa Perusahaan;836.51;Miliar Rupiah
11;Aceh;2016;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;13193.71;Miliar Rupiah
11;Aceh;2016;;P;Jasa Pendidikan;3329.12;Miliar Rupiah
11;Aceh;2016;;Q;Jasa Kesehatan dan Kegiatan Sosial;3510.26;Miliar Rupiah
11;Aceh;2016;;R. S. T. U;Jasa Lainnya;1825.17;Miliar Rupiah
11;Aceh;2017;;A;Pertanian. Kehutanan. dan Perikanan;43363.35;Miliar Rupiah
11;Aceh;2017;;B;Pertambangan dan Penggalian;6770.04;Miliar Rupiah
11;Aceh;2017;;C;Industri Pengolahan;7502.73;Miliar Rupiah
11;Aceh;2017;;D;Pengadaan Listrik dan Gas;193.20;Miliar Rupiah
11;Aceh;2017;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";61.94;Miliar Rupiah
11;Aceh;2017;;F;Konstruksi;13729.47;Miliar Rupiah
11;Aceh;2017;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";23346.00;Miliar Rupiah
11;Aceh;2017;;H;Transportasi dan Pergudangan;10163.38;Miliar Rupiah
11;Aceh;2017;;I;Penyediaan Akomodasi dan Makan Minum;2224.22;Miliar Rupiah
11;Aceh;2017;;J;Informasi dan Komunikasi;4341.07;Miliar Rupiah
11;Aceh;2017;;K;Jasa Keuangan dan Asuransi;2933.09;Miliar Rupiah
11;Aceh;2017;;L;Real Estat;5983.14;Miliar Rupiah
11;Aceh;2017;;M. N;Jasa Perusahaan;904.31;Miliar Rupiah
11;Aceh;2017;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;14628.14;Miliar Rupiah
11;Aceh;2017;;P;Jasa Pendidikan;3787.33;Miliar Rupiah
11;Aceh;2017;;Q;Jasa Kesehatan dan Kegiatan Sosial;3841.99;Miliar Rupiah
11;Aceh;2017;;R. S. T. U;Jasa Lainnya;2033.53;Miliar Rupiah
11;Aceh;2018;;A;Pertanian. Kehutanan. dan Perikanan;46365.38;Miliar Rupiah
11;Aceh;2018;;B;Pertambangan dan Penggalian;7777.32;Miliar Rupiah
11;Aceh;2018;;C;Industri Pengolahan;8117.10;Miliar Rupiah
11;Aceh;2018;;D;Pengadaan Listrik dan Gas;209.52;Miliar Rupiah
11;Aceh;2018;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";67.67;Miliar Rupiah
11;Aceh;2018;;F;Konstruksi;14622.78;Miliar Rupiah
11;Aceh;2018;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";24671.45;Miliar Rupiah
11;Aceh;2018;;H;Transportasi dan Pergudangan;10326.89;Miliar Rupiah
11;Aceh;2018;;I;Penyediaan Akomodasi dan Makan Minum;2502.67;Miliar Rupiah
11;Aceh;2018;;J;Informasi dan Komunikasi;4416.08;Miliar Rupiah
11;Aceh;2018;;K;Jasa Keuangan dan Asuransi;3067.89;Miliar Rupiah
11;Aceh;2018;;L;Real Estat;6534.11;Miliar Rupiah
11;Aceh;2018;;M. N;Jasa Perusahaan;988.52;Miliar Rupiah
11;Aceh;2018;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;15764.97;Miliar Rupiah
11;Aceh;2018;;P;Jasa Pendidikan;4211.13;Miliar Rupiah
11;Aceh;2018;;Q;Jasa Kesehatan dan Kegiatan Sosial;4102.49;Miliar Rupiah
