bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;nilai;satuan
11;Aceh;1101;Kabupaten Simeulue;2013;16.15;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2013;14.2;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2013;16.81;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2013;15.9;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2013;21.84;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2013;26.94;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2013;27.18;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2013;23.62;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2013;16.61;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2013;21.28;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2013;35.52;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2013;19.52;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2013;21.23;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2013;19.92;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2013;34.51;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2013;20.74;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2013;23.41;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2013;15.52;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2013;52.5;Juta Rupiah
11;Aceh;1172;Kota Sabang;2013;28.59;Juta Rupiah
11;Aceh;1173;Kota Langsa;2013;20.52;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2013;52.28;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2013;15.46;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2014;17.32;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2014;15.03;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2014;17.78;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2014;16.89;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2014;22.02;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2014;28.42;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2014;28.75;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2014;25.09;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2014;17.67;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2014;22.18;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2014;34.8;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2014;20.13;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2014;22.42;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2014;20.75;Juta Rupiah
